user_id,city_id,first_name,last_name,phone,email
44,6471,Makara,Pratama,(010) 302-7471,makaranatsir@hotmail.com
45,7371,Silvia,Nashiruddin,(0397) 688-7702,silviawinarno@hotmail.com
46,1371,Rosman,Palastri,+62 (93) 736-6177,rosmanfarida@hotmail.com
47,6471,Kamidin,Lazuardi,0806588573,kamidinwidodo@gmail.com
48,3175,Padma,Rajasa,(0973) 625-7316,padmasihombing@yahoo.com
49,5171,Pranawa,Susanti,+62-568-541-3377,pranawanasyiah@hotmail.com
50,6472,Winda,Uwais,084 063 5194,windamayasari@hotmail.com
51,3171,Omar,Suryono,+62 (023) 399 6410,omarsuryono@hotmail.com
52,3172,Yance,Saragih,+62 (073) 359 3006,yancehasanah@gmail.com
53,3174,Adika,Hariyah,+62 (477) 269-6792,adikawacana@yahoo.com
54,5171,Purwa,Winarsih,+62 (43) 930 8232,purwawahyudin@yahoo.com
55,1371,Warta,Latupono,+62-180-913-9819,wartaprasetya@yahoo.com
56,5171,Yunita,Yulianti,+62 (0648) 597-0129,yunitasaragih@hotmail.com
57,3174,Prakosa,Mardhiyah,083 159 8996,prakosadongoran@hotmail.com
58,3173,Rosman,Wacana,+62-092-579-1245,rosmandongoran@yahoo.com
59,3573,Zelda,Winarsih,+62 (520) 708-5391,zeldasirait@gmail.com
60,3578,Bancar,Usamah,+62-004-495-5142,bancarfujiati@hotmail.com
61,5171,Emong,Budiyanto,+62 (171) 676 5446,emongpurnawati@yahoo.com
62,3573,Ajeng,Puspita,+62-793-312-4614,ajengfujiati@gmail.com
63,3174,Laila,Mulyani,+62-042-277-3524,lailamandala@gmail.com
64,7371,Tami,Mustofa,+62-92-358-5068,tamisetiawan@hotmail.com
65,1375,Cakrabirawa,Laksmiwati,+62-0586-730-8836,cakrabirawamegantara@hotmail.com
66,3471,Jelita,Winarno,+62 (24) 160-2434,jelitamarbun@gmail.com
67,6471,Daruna,Wahyudin,(013) 826 7499,darunahalimah@yahoo.com
68,3174,Lanang,Sirait,+62-0757-632-1951,lanangwulandari@hotmail.com
69,3174,Mursinin,Latupono,+62 (032) 826 6218,mursininprabowo@yahoo.com
70,6471,Widya,Maryadi,+62-683-939-2072,widyaagustina@yahoo.com
71,3173,Jamil,Najmudin,+62 (007) 870-8010,jamilnarpati@yahoo.com
72,3173,Raditya,Saptono,(061) 731-9587,radityaprasetyo@hotmail.com
73,3573,Ulva,Halimah,(0244) 819-7885,ulvarahimah@gmail.com
74,3175,Ghaliyati,Rahayu,+62 (82) 011-1906,ghaliyatiprabowo@gmail.com
75,3172,Puji,Samosir,+62 (088) 977-1220,pujiwasita@gmail.com
76,3578,Eka,Winarsih,+62 (352) 967 8877,ekapalastri@hotmail.com
77,3172,Margana,Uyainah,+62 (044) 155 3070,marganawinarno@hotmail.com
78,3573,Dina,Tarihoran,+62 (056) 694-0659,dinayolanda@gmail.com
79,6472,Samsul,Hutagalung,+62-0108-415-5900,samsulmelani@gmail.com
80,3578,Puti,Usamah,(0331) 196-2999,putisinaga@yahoo.com
81,5171,Lulut,Tamba,0841107430,lulutiswahyudi@yahoo.com
82,6472,Victoria,Hasanah,+62-49-635-2846,victoriasihombing@hotmail.com
83,3172,Malika,Thamrin,(0466) 364 6839,malikamustofa@yahoo.com
84,3171,Daliman,Laksmiwati,+62 (093) 031-5130,dalimanmegantara@gmail.com
85,3573,Hasta,Handayani,082 717 8245,hastaoktaviani@gmail.com
86,5171,Rafid,Nasyidah,(089) 285 5202,rafidwijaya@yahoo.com
87,5171,Empluk,Situmorang,+62 (05) 881 4793,emplukpratama@yahoo.com
88,3573,Aurora,Riyanti,+62 (089) 057-2468,aurorasalahudin@yahoo.com
89,3173,Mahdi,Farida,+62 (638) 320-1952,mahdihariyah@yahoo.com
90,3578,Pardi,Mahendra,(007) 047-5367,pardisitompul@yahoo.com
91,3174,Janet,Narpati,(073) 111 6780,janettamba@gmail.com
92,5171,Nasab,Saragih,(0139) 619-4950,nasabrahayu@yahoo.com
93,5171,Almira,Siregar,+62 (0151) 543 5156,almiraprakasa@hotmail.com
94,5171,Sidiq,Habibi,+62 (076) 650 0493,sidiqmardhiyah@yahoo.com
95,6472,Balamantri,Marpaung,+62 (904) 242-8999,balamantrirahmawati@hotmail.com
96,1371,Martani,Hassanah,+62 (068) 983-3138,martanipuspasari@gmail.com
97,6471,Maryadi,Wahyuni,+62-0719-127-2524,maryadisuryatmi@gmail.com
98,3573,Ega,Prastuti,+62-026-060-6723,egawidiastuti@hotmail.com
99,3175,Caturangga,Marbun,+62 (082) 554 7558,caturanggasirait@yahoo.com
100,3171,Samsul,Palastri,(011) 250 5951,samsulsuwarno@yahoo.com
